codigo,artista,musica,letra
01091,Roberto Leal,Bate O Pé,Ai bate o pé bate o pé bate o pé
01092,Tihuana,De Longe,Ver as coisas como elas são
01093,Fernando Mendes,De Que Vale Ter Tudo Na Vida,Nada mais importa agora
01094,Isabella Taviani,Diga Sim Pra Mim,Eu pensei em comprar algumas flores
01095,O Rappa,Meu Mundo É O Barro,Moço peço licença eu sou novo aqui
01096,Biquini Cavadão e Renato Russo,Múmias,Bem aventurados sejam aqueles
01097,Leonardo,Por Que É Tão Cruel O Amor?,Não se acaba o amor só dizendo adeus
01098,Sorriso Maroto,Tarde Demais,Tarde demais pra você se tocar
01099,Roberto Leal,Verde Vinho,Ninguém na rua na noite fria
01100,Zé Ramalho,Vila Do Sossego,Oh eu não sei se eram os antigos que
01101,Zeca Baleiro,Você É Má,Vá se danar
01102,Eduardo Costa e Bruno e Marrone,Você Foi Atriz,Vou tentar te esquecer mas não vou pro
01103,Nara Leão,Até Quem Sabe,Até um dia até talvez até quem sabe
01104,Inimigos da HP,Bons Momentos,São seus olhos sua boca
01105,Mart'nália,Cabide,Se eu fingir e sair por aí na noitad
01106,Alexandre Pires e Daniel,Cheguei Tarde Demais,Não faz não quer não vem não fala nada
01107,Mart'nália,"Don'T Worry, Be Happy",Here's a little song I wrote
01108,Lenine,É O Que Me Interessa,Daqui desse momento
01109,Gonzaguinha,Feliz,Para quem bem viveu o amor
01110,Grupo To Legal,Louca Amizade,Toda madrugada eu só penso em você
01111,Doce Encontro,Lugares Proibidos,Eu gosto do claro
01112,Natiruts,Naticongo,Tinha a coragem e a calma de um rei
01113,Sampa Crew,No Mesmo Lugar,Já faz algum tempo
01114,Fernando e Sorocaba,Noite Enluarada,Noite enluarada hoje vou te amar
01115,Grupo É Demais,Ouve Essa Canção,Vem... ouve essa canção
01116,Doce Encontro,Perdoa,Perdoa
01117,Atitude 4,Pro Mundo Inteiro,Eu nunca tive amor assim
01118,Exaltasamba,Se Liga,Já faz um tempo que eu venho te falan
01119,Adriana Calcanhoto,Seu Pensamento,A uma hora dessas
01120,Alceu Valença,Solidão,A solidão é fera a solidão devora
01121,Frejat,Túnel Do Tempo,Nosso encontro aconteceu como eu ima
01122,Ney Matogrosso,Um Pouco De Calor,Saí a toa nessa madrugada
01123,Auto-Sustentável,2 Mundos,Será que dois mundos tão diferentes
01124,Negra Li,Amar Em Vão,Hey me diz
01125,Doce Encontro,Amor Jogado Fora,Faz tempo que eu não venho aqui
01126,João Bosco e Vinícius,"Chora, Me Liga",Não era pra você se apaixonar
01127,Edson e Hudson,Ciúme Exagerado,Já sofri já chorei
01128,Paula Toller,Derretendo Satélites,Abro com as mãos te deixo olhar
01129,Victor e Leo,Deus E Eu No Sertão,Nunca vi ninguém
01130,Nayah,É Só Você Querer,É só você querer que eu posso voltar
01131,Regis Danese,Faz Um Milagre Em Mim,Como Zaqueu eu quero subir
01132,Diogo Nogueira,Malandro É Malandro E Mané É Mané,Malandro é malandro e mané é mané
01133,Lenine,Martelo Bigorna,Muito do que eu faço
01134,Leonardo,Mentirosa,O que posso fazer se a vida é assim
01135,Waldick Soriano,Perfume De Gardênia,Perfume de gardênia tem em tua boca
01136,Doce Encontro,Tô De Saco Cheio,La laiá laiá laiá laiá
01137,Kaluana e Adriana Ribeiro,Tua Indiferença,Por que você não liga mais
